ÜNÝVERSÝTE_TÜRÜ;ÜNÝVERSÝTE;FAKÜLTE;PROGRAM_KODU;PROGRAM;DÝL;ÖÐRENÝM_TÜRÜ;BURS;ÖÐRENÝM_SÜRESÝ;PUAN_TÜRÜ;KONTENJAN;OKUL_BÝRÝNCÝSÝ_KONTENJANI;GEÇEN_YIL_MÝN_SIRALAMA;GEÇEN_YIL_MÝN_PUAN
Vakýf;YAÞAR ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;206011034;Enerji Sistemleri Mühendisliði;Ýngilizce;;100;4;SAY;3;;60100;388,38184
Vakýf;YAÞAR ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;206011043;Enerji Sistemleri Mühendisliði;Ýngilizce;;50;4;SAY;18;;218000;272,2206
Vakýf;YAÞAR ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;206011052;Enerji Sistemleri Mühendisliði;Ýngilizce;;25;4;SAY;6;;;
Vakýf;YAÞAR ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;206011149;Ýnþaat Mühendisliði;Ýngilizce;;;4;SAY;6;;;
Vakýf;YAÞAR ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;206011113;Ýnþaat Mühendisliði;Ýngilizce;;100;4;SAY;5;;71200;373,61939
Vakýf;YAÞAR ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;206011122;Ýnþaat Mühendisliði;Ýngilizce;;50;4;SAY;11;;106000;336,03835
Vakýf;YAÞAR ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;206011131;Ýnþaat Mühendisliði;Ýngilizce;;25;4;SAY;28;;283000;252,00511
Vakýf;YAÞAR ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;206090348;Makine Mühendisliði;Ýngilizce;;;4;SAY;3;;;
Vakýf;YAÞAR ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;206090347;Makine Mühendisliði;Ýngilizce;;100;4;SAY;3;;56300;393,87238
Vakýf;YAÞAR ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;206090354;Makine Mühendisliði;Ýngilizce;;50;4;SAY;14;;...;----
Vakýf;YAÞAR ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;206090355;Makine Mühendisliði;Ýngilizce;;25;4;SAY;10;;...;----
Vakýf;YAÞAR ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;206010557;Yazýlým Mühendisliði;Ýngilizce;;;4;SAY;4;;;
Vakýf;YAÞAR ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;206010566;Yazýlým Mühendisliði;Ýngilizce;;100;4;SAY;5;;34800;429,13373
Vakýf;YAÞAR ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;206010584;Yazýlým Mühendisliði;Ýngilizce;;50;4;SAY;12;;66400;379,71841
Vakýf;YAÞAR ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;206010875;Yazýlým Mühendisliði;Ýngilizce;;25;4;SAY;29;;256000;259,5568
Vakýf;ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;203510022;Bilgisayar Mühendisliði;Ýngilizce;;100;4;SAY;4;;22900;452,64899
Vakýf;ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;203510676;Bilgisayar Mühendisliði;Ýngilizce;;50;4;SAY;24;;47500;407,33432
Vakýf;ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;203510746;Bilgisayar Mühendisliði;Ýngilizce;;25;4;SAY;16;;199000;279,65982
Vakýf;ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;203511374;Biyomedikal Mühendisliði;Ýngilizce;;100;4;SAY;2;;51200;401,55931
Vakýf;ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;203511383;Biyomedikal Mühendisliði;Ýngilizce;;50;4;SAY;22;;188000;284,42427
Vakýf;ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;203510879;Elektrik-Elektronik Mühendisliði;Ýngilizce;;100;4;SAY;4;;41200;417,85017
Vakýf;ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;203510888;Elektrik-Elektronik Mühendisliði;Ýngilizce;;50;4;SAY;32;;70200;374,85676
Vakýf;ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;203510897;Elektrik-Elektronik Mühendisliði;Ýngilizce;;25;4;SAY;4;;;
Vakýf;ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;203510049;Endüstri Mühendisliði;Ýngilizce;;100;4;SAY;5;;30100;438,24642
Vakýf;ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;203510694;Endüstri Mühendisliði;Ýngilizce;;50;4;SAY;35;;54100;397,07123
Vakýf;ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;203510764;Endüstri Mühendisliði;Ýngilizce;;25;4;SAY;14;;264000;257,14913
Vakýf;ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;203511338;Genetik ve Biyomühendislik;Ýngilizce;;100;4;SAY;3;;54200;396,85601
Vakýf;ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;203511471;Genetik ve Biyomühendislik;Ýngilizce;;50;4;SAY;30;;234000;266,39315
Vakýf;ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;203510913;Gýda Mühendisliði;Ýngilizce;;100;4;SAY;2;;137000;312,72264
Vakýf;ÝZMÝR EKONOMÝ ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;203510922;Gýda Mühendisliði;Ýngilizce;;50;4;SAY;18;;235000;265,98736
